"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_17149&withRelationships=true&charts=0_Orion.Nodes_17149-Orion.PerfStack.Events;0_Orion.Nodes_17149-Orion.PerfStack.Status;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Events",2022-01-17 17:12:00,58,"RNEC-VM-09","Critical",2022-01-17 17:12:00,0,"RNEC-VM-09","Warning",2022-01-17 17:12:00,29,"RNEC-VM-09","Informational",2022-01-17 17:12:00,29,
"RNEC-VM-09","Events",2022-01-17 23:06:00,68,"RNEC-VM-09","Critical",2022-01-17 23:06:00,0,"RNEC-VM-09","Warning",2022-01-17 23:06:00,34,"RNEC-VM-09","Informational",2022-01-17 23:06:00,34,
"RNEC-VM-09","Events",2022-01-18 05:00:00,78,"RNEC-VM-09","Critical",2022-01-18 05:00:00,0,"RNEC-VM-09","Warning",2022-01-18 05:00:00,40,"RNEC-VM-09","Informational",2022-01-18 05:00:00,38,
"RNEC-VM-09","Events",2022-01-18 10:54:00,75,"RNEC-VM-09","Critical",2022-01-18 10:54:00,0,"RNEC-VM-09","Warning",2022-01-18 10:54:00,35,"RNEC-VM-09","Informational",2022-01-18 10:54:00,40,
"RNEC-VM-09","Events",2022-01-18 16:48:00,86,"RNEC-VM-09","Critical",2022-01-18 16:48:00,0,"RNEC-VM-09","Warning",2022-01-18 16:48:00,43,"RNEC-VM-09","Informational",2022-01-18 16:48:00,43,
"RNEC-VM-09","Events",2022-01-18 22:42:00,69,"RNEC-VM-09","Critical",2022-01-18 22:42:00,0,"RNEC-VM-09","Warning",2022-01-18 22:42:00,33,"RNEC-VM-09","Informational",2022-01-18 22:42:00,36,
"RNEC-VM-09","Events",2022-01-19 04:36:00,76,"RNEC-VM-09","Critical",2022-01-19 04:36:00,0,"RNEC-VM-09","Warning",2022-01-19 04:36:00,38,"RNEC-VM-09","Informational",2022-01-19 04:36:00,38,
"RNEC-VM-09","Events",2022-01-19 10:30:00,78,"RNEC-VM-09","Critical",2022-01-19 10:30:00,0,"RNEC-VM-09","Warning",2022-01-19 10:30:00,35,"RNEC-VM-09","Informational",2022-01-19 10:30:00,43,
"RNEC-VM-09","Events",2022-01-19 16:24:00,68,"RNEC-VM-09","Critical",2022-01-19 16:24:00,0,"RNEC-VM-09","Warning",2022-01-19 16:24:00,33,"RNEC-VM-09","Informational",2022-01-19 16:24:00,35,
"RNEC-VM-09","Events",2022-01-19 22:18:00,70,"RNEC-VM-09","Critical",2022-01-19 22:18:00,0,"RNEC-VM-09","Warning",2022-01-19 22:18:00,31,"RNEC-VM-09","Informational",2022-01-19 22:18:00,39,
